Model,Accuracy,ROC-AUC,PR-AUC,Recall,Precision,F1 Score,TN,FP,FN,TP
LogisticRegression,0.711913086913087,0.8212816749227869,0.8610024506489478,0.8205607476635514,0.6953078598297366,0.7527596184760476,2189,1539,768,3512
RandomForest,0.7307692307692307,0.8317881728570855,0.8724264268862654,0.8032710280373832,0.7234848484848485,0.7612931798051373,2414,1314,842,3438
XGBoost,0.7124125874125874,0.8385609281617263,0.8794498101499921,0.8640186915887851,0.682413729470382,0.7625528404990205,2007,1721,582,3698
